Site No	Site Name	Service	Class	Modulation	Area Served	Commenced Date
2145	Borombiel Hill	ABC Digital Television	D	COFDM	Cassilis	01/01/2008 16:00
2155	Mt Douglas	ABC Digital Television	D	COFDM	Vacy	01/01/2007 16:00
2259	Gan Gan Hill RT	ABC Digital Television	D	COFDM	Port Stephens	17/11/2006 15:00
2306	Walcha	ABC Digital Television	D	COFDM	Walcha	13/09/2014 14:30
2595	Shepherds Hill NBN	ABC Digital Television	D	COFDM	Merewether	28/07/2020 0:30
2090	Cambewarra Lookout	WIN Digital Television	D	COFDM	Nowra North	11/10/2021 7:00
2093	Garlands Hill	WIN Digital Television	D	COFDM	Portland/Wallerawang	11/10/2021 7:00
2601	Endicotts Hill WIN	WIN Digital Television	D	COFDM	Mudgee	11/10/2021 7:00
2621	Hospital Hill Condobolin	WIN Digital Television	D	COFDM	Condobolin	11/10/2021 7:00
2015	Brokers Nose	WIN Digital Television	C	COFDM	Wollongong	11/10/2021 7:00
2070	Mt Gibraltar WIN	WIN Digital Television	C	COFDM	Bowral/Mittagong	11/10/2021 7:00
2110	Little Forest Trig	WIN Digital Television	B	COFDM	Ulladulla	11/10/2021 7:00
2609	Knights Hill WIN	WIN Digital Television	A	COFDM	Illawarra	11/10/2021 7:00
2612	Gaanha bula Mt Canobolas Seven	WIN Digital Television	B	COFDM	Orange	11/10/2021 7:00
2695	Mt Kembla RBAH	WIN Digital Television	E	COFDM	Mount Kembla	11/10/2021 7:00
2609	Knights Hill WIN	i98FM	A	FM	Illawarra	11/10/2021 7:00
2687	Razorback Range	C91.3FM	A	FM	Campbelltown	11/10/2021 7:00
2695	Mt Kembla RBAH	ABC Digital Television	E	COFDM	Mount Kembla	11/10/2021 7:00
2695	Mt Kembla RBAH	Seven Digital Television	E	COFDM	Mount Kembla	11/10/2021 7:00
2695	Mt Kembla RBAH	10 pgm	E	COFDM	Mount Kembla	11/10/2021 7:00
2695	Mt Kembla RBAH	SBS Digital Television	E	COFDM	Mount Kembla	11/10/2021 7:00
2160	Falls Hill	WIN Digital Television	E	COFDM	Oberon	11/10/2021 7:00
2160	Falls Hill	10 pgm	E	COFDM	Oberon	11/10/2021 7:00
2160	Falls Hill	SBS Digital Television	E	COFDM	Oberon	11/10/2021 7:00
2472	Peak Hill RT	ABC Digital Television	E	COFDM	Peak Hill	11/10/2021 7:00
2472	Peak Hill RT	Seven Digital Television	E	COFDM	Peak Hill	11/10/2021 7:00
2472	Peak Hill RT	10 pgm	E	COFDM	Peak Hill	11/10/2021 7:00
2472	Peak Hill RT	SBS Digital Television	E	COFDM	Peak Hill	11/10/2021 7:00
2472	Peak Hill RT	WIN Digital Television	E	COFDM	Peak Hill	11/10/2021 7:00
2685	Mudgee Town RBAH	ABC Digital Television	E	COFDM	Mudgee Town	11/10/2021 7:00
2685	Mudgee Town RBAH	Seven Digital Television	E	COFDM	Mudgee Town	11/10/2021 7:00
2685	Mudgee Town RBAH	10 pgm	E	COFDM	Mudgee Town	11/10/2021 7:00
2685	Mudgee Town RBAH	SBS Digital Television	E	COFDM	Mudgee Town	11/10/2021 7:00
2685	Mudgee Town RBAH	WIN Digital Television	E	COFDM	Mudgee Town	11/10/2021 7:00
2602	Eugowra RBAH	ABC Digital Television	R	COFDM	Eugowra	01/03/2025 0:05
2602	Eugowra RBAH	Seven Digital Television	R	COFDM	Eugowra	01/03/2025 0:05
2602	Eugowra RBAH	SBS Digital Television	R	COFDM	Eugowra	01/03/2025 0:05
2602	Eugowra RBAH	WIN Digital Television	R	COFDM	Eugowra	01/03/2025 0:05
2604	Grenfell RBAH	ABC Digital Television	R	COFDM	Grenfell	01/03/2025 0:05
2604	Grenfell RBAH	Seven Digital Television	R	COFDM	Grenfell	01/03/2025 0:05
2604	Grenfell RBAH	SBS Digital Television	R	COFDM	Grenfell	01/03/2025 0:05
2604	Grenfell RBAH	WIN Digital Television	R	COFDM	Grenfell	01/03/2025 0:05
2015	Brokers Nose	10 pgm	C	COFDM	Wollongong	01/03/2025 0:05
2090	Cambewarra Lookout	10 pgm	C	COFDM	Nowra	01/03/2025 0:05
2110	Little Forest Trig	10 pgm	C	COFDM	Ulladulla	01/03/2025 0:05
2602	Eugowra RBAH	10 pgm	R	COFDM	Eugowra	01/03/2025 0:05
2604	Grenfell RBAH	10 pgm	R	COFDM	Grenfell	01/03/2025 0:05
2609	Knights Hill WIN	10 pgm	B	COFDM	Wollongong	01/03/2025 0:05
2612	Gaanha bula Mt Canobolas Seven	10 pgm	B	COFDM	Orange	01/03/2025 0:05
2049	Mt Cumbermelon	10 pgm	D	COFDM	Kandos	01/03/2025 0:05
2058	Littleton	10 pgm	D	COFDM	Lithgow	01/03/2025 0:05
2070	Mt Gibraltar WIN	10 pgm	D	COFDM	Bowral	01/03/2025 0:05
2093	Garlands Hill	10 pgm	D	COFDM	Portland/Wallerawang	01/03/2025 0:05
2099	Stanwell Park WIN	10 pgm	D	COFDM	Stanwell Park	01/03/2025 0:05
